###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 130, State: 97F868AE7C23DAD9E4580FF88F3D4EBE, Parent: 125, Action: R, Depth:25, Cost: 25.00, Heuristic: 0.00, Value: 0.00, Type:TARGET

###########\n####  .#  #\n#### # $  #\n####  $#  #\n#      ## #\n#   ###   #\n#  @###.$.#\n###########
ID: 0, State: E6A65201B8EC4075B185579F630C7195, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 1, State: 602057CBE96235260C853CDC01F9AA7A, Parent: 0, Action: u, Depth:1, Cost: 1.00, Heuristic: 5.00, Value: 6.00, Type:EXPANDED
ID: 3, State: C11A569F84A773A2825147445A65AB79, Parent: 1, Action: u, Depth:2, Cost: 2.00, Heuristic: 5.00, Value: 7.00, Type:EXPANDED
ID: 9, State: 15A1CACA7B1874AC8AA61A7DDEF66BDE, Parent: 3, Action: r, Depth:3, Cost: 3.00, Heuristic: 5.00, Value: 8.00, Type:EXPANDED
ID: 19, State: 5CCD327804819D7E022E0249E49F97C1, Parent: 9, Action: r, Depth:4, Cost: 4.00, Heuristic: 5.00, Value: 9.00, Type:EXPANDED
ID: 31, State: C2C94808DF7C0F63A4E64F4694402C4B, Parent: 19, Action: r, Depth:5, Cost: 5.00, Heuristic: 5.00, Value: 10.00, Type:EXPANDED
ID: 39, State: 2196A1267E5E8D1CD8F836AADA2A6AEE, Parent: 31, Action: U, Depth:6, Cost: 6.00, Heuristic: 4.00, Value: 10.00, Type:EXPANDED
ID: 41, State: EC08800EB47B92A7AF78CE5BCB62F64B, Parent: 39, Action: U, Depth:7, Cost: 7.00, Heuristic: 3.00, Value: 10.00, Type:EXPANDED
ID: 44, State: 54FC44B2FC85962979F39E81DB11B6F4, Parent: 41, Action: R, Depth:8, Cost: 8.00, Heuristic: 4.00, Value: 12.00, Type:EXPANDED
ID: 56, State: 8E59DCA7D888B8394AD691F165E4806F, Parent: 44, Action: R, Depth:9, Cost: 9.00, Heuristic: 5.00, Value: 14.00, Type:EXPANDED
ID: 87, State: 76C6532060C1952B37BA680678979AC1, Parent: 56, Action: d, Depth:10, Cost: 10.00, Heuristic: 5.00, Value: 15.00, Type:EXPANDED
ID: 108, State: E9FC7AED5F081A510BBA6ABB41B8298F, Parent: 87, Action: r, Depth:11, Cost: 11.00, Heuristic: 5.00, Value: 16.00, Type:EXPANDED
ID: 136, State: 20A96544B3BCE7928179FF17B50FD506, Parent: 108, Action: d, Depth:12, Cost: 12.00, Heuristic: 5.00, Value: 17.00, Type:EXPANDED
ID: 185, State: 30ACEC849FA892C95BDE83C4B1AB6F71, Parent: 136, Action: d, Depth:13, Cost: 13.00, Heuristic: 5.00, Value: 18.00, Type:EXPANDED
ID: 246, State: F793D7191E94F6482A169EDB046B59FE, Parent: 185, Action: d, Depth:14, Cost: 14.00, Heuristic: 5.00, Value: 19.00, Type:EXPANDED
ID: 314, State: 8CF82B26DDEF968A4F5ABCAB7E13E0C0, Parent: 246, Action: L, Depth:15, Cost: 15.00, Heuristic: 4.00, Value: 19.00, Type:EXPANDED
ID: 355, State: ACBCA63456F1B37B66726183A93D2449, Parent: 314, Action: u, Depth:16, Cost: 16.00, Heuristic: 4.00, Value: 20.00, Type:EXPANDED
ID: 415, State: 2AA7826B9F6A518234AE355C9CB6EA99, Parent: 355, Action: r, Depth:17, Cost: 17.00, Heuristic: 4.00, Value: 21.00, Type:EXPANDED
ID: 490, State: D1390D163C8F8081085F39B0F2A76808, Parent: 415, Action: u, Depth:18, Cost: 18.00, Heuristic: 4.00, Value: 22.00, Type:EXPANDED
ID: 590, State: E2BABF4E1A9E356F02C67F2203F10373, Parent: 490, Action: u, Depth:19, Cost: 19.00, Heuristic: 4.00, Value: 23.00, Type:EXPANDED
ID: 698, State: B1DBD3CBECE08E50B22958B59D885EC1, Parent: 590, Action: l, Depth:20, Cost: 20.00, Heuristic: 4.00, Value: 24.00, Type:EXPANDED
ID: 810, State: AE1D76B3E042D6215B476362C1795776, Parent: 698, Action: u, Depth:21, Cost: 21.00, Heuristic: 4.00, Value: 25.00, Type:EXPANDED
ID: 945, State: 72A4E1AF8602AD945A78A1F69A1B0C76, Parent: 810, Action: u, Depth:22, Cost: 22.00, Heuristic: 4.00, Value: 26.00, Type:EXPANDED
ID: 1092, State: EBE99EF83F175E1A9E76E5D9439B2674, Parent: 945, Action: r, Depth:23, Cost: 23.00, Heuristic: 4.00, Value: 27.00, Type:EXPANDED
ID: 1235, State: 8C30107791F0FE0438B20C22A4C90AA9, Parent: 1092, Action: D, Depth:24, Cost: 24.00, Heuristic: 3.00, Value: 27.00, Type:EXPANDED
ID: 1300, State: BA94CB9AD3B048CE3E941A174214926E, Parent: 1235, Action: D, Depth:25, Cost: 25.00, Heuristic: 2.00, Value: 27.00, Type:EXPANDED
ID: 1307, State: F0B129BF7F4E7AF60A1E334BF86006A3, Parent: 1300, Action: D, Depth:26, Cost: 26.00, Heuristic: 1.00, Value: 27.00, Type:EXPANDED
ID: 1310, State: EA3E9E99052B1EAC96A0259C8BB818D8, Parent: 1307, Action: D, Depth:27, Cost: 27.00, Heuristic: 0.00, Value: 27.00, Type:TARGET

###########\n####  .#  #\n#### # $  #\n####  $#  #\n#      ## #\n#   ###   #\n#  @###.$.#\n###########
ID: 0, State: E6A65201B8EC4075B185579F630C7195, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 1, State: 602057CBE96235260C853CDC01F9AA7A, Parent: 0, Action: u, Depth:1, Cost: 1.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 3, State: C11A569F84A773A2825147445A65AB79, Parent: 1, Action: u, Depth:2, Cost: 2.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 9, State: 15A1CACA7B1874AC8AA61A7DDEF66BDE, Parent: 3, Action: r, Depth:3, Cost: 3.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 19, State: 5CCD327804819D7E022E0249E49F97C1, Parent: 9, Action: r, Depth:4, Cost: 4.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 31, State: C2C94808DF7C0F63A4E64F4694402C4B, Parent: 19, Action: r, Depth:5, Cost: 5.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 39, State: 2196A1267E5E8D1CD8F836AADA2A6AEE, Parent: 31, Action: U, Depth:6, Cost: 6.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
ID: 41, State: EC08800EB47B92A7AF78CE5BCB62F64B, Parent: 39, Action: U, Depth:7, Cost: 7.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 44, State: 54FC44B2FC85962979F39E81DB11B6F4, Parent: 41, Action: R, Depth:8, Cost: 8.00, Heuristic: 4.00, Value: 4.00, Type:EXPANDED
